MovieID,List Index,Title,Genres
1,0,Toy Story (1995),Animation|Children's|Comedy
2,1,Jumanji (1995),Adventure|Children's|Fantasy
3,2,Grumpier Old Men (1995),Comedy|Romance
4,3,Waiting to Exhale (1995),Comedy|Drama
5,4,Father of the Bride Part II (1995),Comedy
6,5,Heat (1995),Action|Crime|Thriller
7,6,Sabrina (1995),Comedy|Romance
8,7,Tom and Huck (1995),Adventure|Children's
9,8,Sudden Death (1995),Action
10,9,GoldenEye (1995),Action|Adventure|Thriller
11,10,"American President, The (1995)",Comedy|Drama|Romance
12,11,Dracula: Dead and Loving It (1995),Comedy|Horror
13,12,Balto (1995),Animation|Children's
14,13,Nixon (1995),Drama
15,14,Cutthroat Island (1995),Action|Adventure|Romance
16,15,Casino (1995),Drama|Thriller
17,16,Sense and Sensibility (1995),Drama|Romance
18,17,Four Rooms (1995),Thriller
19,18,Ace Ventura: When Nature Calls (1995),Comedy
20,19,Money Train (1995),Action
21,20,Get Shorty (1995),Action|Comedy|Drama
22,21,Copycat (1995),Crime|Drama|Thriller
23,22,Assassins (1995),Thriller
24,23,Powder (1995),Drama|Sci-Fi
25,24,Leaving Las Vegas (1995),Drama|Romance
26,25,Othello (1995),Drama
27,26,Now and Then (1995),Drama
28,27,Persuasion (1995),Romance
29,28,"City of Lost Children, The (1995)",Adventure|Sci-Fi
30,29,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama
31,30,Dangerous Minds (1995),Drama
32,31,Twelve Monkeys (1995),Drama|Sci-Fi
33,32,Wings of Courage (1995),Adventure|Romance
34,33,Babe (1995),Children's|Comedy|Drama
35,34,Carrington (1995),Drama|Romance
36,35,Dead Man Walking (1995),Drama
37,36,Across the Sea of Time (1995),Documentary
38,37,It Takes Two (1995),Comedy
39,38,Clueless (1995),Comedy|Romance
40,39,"Cry, the Beloved Country (1995)",Drama
41,40,Richard III (1995),Drama|War
42,41,Dead Presidents (1995),Action|Crime|Drama
43,42,Restoration (1995),Drama
44,43,Mortal Kombat (1995),Action|Adventure
45,44,To Die For (1995),Comedy|Drama
46,45,How to Make an American Quilt (1995),Drama|Romance
47,46,Seven (Se7en) (1995),Crime|Thriller
48,47,Pocahontas (1995),Animation|Children's|Musical|Romance
49,48,When Night Is Falling (1995),Drama|Romance
50,49,"Usual Suspects, The (1995)",Crime|Thriller
51,50,Guardian Angel (1994),Action|Drama|Thriller
52,51,Mighty Aphrodite (1995),Comedy
53,52,Lamerica (1994),Drama
54,53,"Big Green, The (1995)",Children's|Comedy
55,54,Georgia (1995),Drama
56,55,Kids of the Round Table (1995),Adventure|Children's|Fantasy
57,56,Home for the Holidays (1995),Drama
58,57,"Postino, Il (The Postman) (1994)",Drama|Romance
59,58,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery
60,59,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy
